ID	mean_finalFreeze	mean_cGDDfreeze	med_DD0
858	147.1	402.96875	188.5
859	151.325	422.06875	192
861	150.15	436.4125	189
862	147.95	419.8375	189
863	145.1	416.24375	188
866	137.95	372.2375	185
868	137.45	357.53125	184.5
869	135.9	321.88125	187.5
872	135.175	311.4625	188.5
873	136.15	358.675	186.5
874	137.525	370.5125	186
876	138.3	376.79375	186.5
879	140.875	446.375	187.5
880	141.725	422.3125	189
930	138.975	560.975	136.5
936	134.625	542.1375	132
937	135.7	533.75625	136
938	135.85	526.03125	138
939	135.7	530.925	136.5
940	135.925	530.775	138
941	135.925	538.86875	136
945	135	520.53125	134.5
947	136.05	515.68125	138
948	135.85	516.44375	137.5
CLK-10	143.35	511.725	150
CLK-13	143.35	511.725	150
CLK-4	143.35	511.725	150
CLK-6	143.35	511.725	150
CLK-8	143.35	511.725	150
EDM-10	133.3	512.63125	132.5
EDM-11	133.3	512.63125	132.5
EDM-12	133.3	512.63125	132.5
EDM-13	133.3	512.63125	132.5
EDM-14	133.3	512.63125	132.5
EDM-15	133.3	512.63125	132.5
EDM-3	133.3	512.63125	132.5
EDM-8	133.3	512.63125	132.5
FTM-1	137.5	462.2	152
FTM-10	137.5	462.2	152
FTM-12	137.5	462.2	152
FTM-13	137.5	462.2	152
FTM-14	137.5	462.2	152
FTM-15	137.5	462.2	152
FTM-2	137.5	462.2	152
GPR-1	139.475	591.15	134
GPR-10	139.475	591.15	134
GPR-12	139.475	591.15	134
GPR-14	139.475	591.15	134
GPR-15	139.475	591.15	134
GPR-4	139.475	591.15	134
GPR-5	139.475	591.15	134
GPR-7	139.475	591.15	134
LAR-10	143.325	441.33125	162
LAR-12	143.325	441.33125	162
LAR-13	143.325	441.33125	162
LAR-14	143.325	441.33125	162
LAR-6	143.325	441.33125	162
LAR-7	143.325	441.33125	162
MEL-11	138.675	409.55625	152.5
MEL-12	138.675	409.55625	152.5
MEL-13	138.675	409.55625	152.5
MEL-15	138.675	409.55625	152.5
MEL-2	138.675	409.55625	152.5
MEL-6	138.675	409.55625	152.5
MEL-7	138.675	409.55625	152.5
MEL-9	138.675	409.55625	152.5
MHCE01	136.775	626.63125	117
MHCE03	150.425	622.3875	139
MHCE07	149.95	614.18125	141.5
WOL-1	151.55	374.74375	187
WOL-15	151.55	374.74375	187
WOL-4	151.55	374.74375	187
WOL-5	151.55	374.74375	187
WOL-7	151.55	374.74375	187
WOL-9	151.55	374.74375	187
